id,english,dwarf,elf,goblin,human,disambig,pos,noun,verb
42,armor,tosid,datome,nuklat,stalcon,,noun,singular,
43,armors,tosid,datome,nuklat,stalcon,,noun,plural,
44,armored,tosid,datome,nuklat,stalcon,,adjective,,
45,arrow,feb,lari,ost,nek,,noun,singular,
46,arrows,feb,lari,ost,nek,,noun,plural,
47,artifice,berim,aratha,urdu,lástta,,noun,singular,
48,artifices,berim,aratha,urdu,lástta,,noun,plural,
49,artificial,berim,aratha,urdu,lástta,,adjective,,
50,ash,ibruk,imeri,usmdas,cish,,noun,singular,
51,ashes,ibruk,imeri,usmdas,cish,,noun,plural,
52,ashen,ibruk,imeri,usmdas,cish,,adjective,,
53,aunt,ermis,thùna,uto,ani,,noun,singular,
54,aunts,ermis,thùna,uto,ani,,noun,plural,
55,aura,thoth,arazi,nol,shato,,noun,singular,
56,auras,thoth,arazi,nol,shato,,noun,plural,
57,autumn,thatthil,fidale,dab,almef,,noun,singular,
58,autumns,thatthil,fidale,dab,almef,,noun,plural,
59,autumnal,thatthil,fidale,dab,almef,,adjective,,
60,awe-inspiring,gòstang,tarathe,nolsmu,oñod,,adjective,,
61,axe,libash,cuthefi,agun,osp,,noun,singular,
62,axes,libash,cuthefi,agun,osp,,noun,plural,
63,back,lakish,cede,ung,arin,,noun,singular,
64,backs,lakish,cede,ung,arin,,noun,plural,
65,bad,asdos,otoga,stotho,umo,,adjective,,
66,baldness,roder,dinade,bor,rostfen,,noun,singular,
67,baldnesses,roder,dinade,bor,rostfen,,noun,plural,
68,bald,roder,dinade,bor,rostfen,,adjective,,
69,bald,roder,dinade,bor,rostfen,,verb,,present 1st person
70,balds,roder,dinade,bor,rostfen,,verb,,present 3rd person
71,balded,roder,dinade,bor,rostfen,,verb,,preterite
72,balded,roder,dinade,bor,rostfen,,verb,,past participle
73,balding,roder,dinade,bor,rostfen,,verb,,present participle
74,baker,nel,cenopu,osm,hiñer,,noun,singular,
75,bakers,nel,cenopu,osm,hiñer,,noun,plural,
76,bake,nel,cenopu,osm,hiñer,,verb,,present 1st person
77,bakes,nel,cenopu,osm,hiñer,,verb,,present 3rd person
78,baked,nel,cenopu,osm,hiñer,,verb,,preterite
79,baked,nel,cenopu,osm,hiñer,,verb,,past participle
80,baking,nel,cenopu,osm,hiñer,,verb,,present participle
81,ball,biban,èle,enu,ohe,,noun,singular,
82,balls,biban,èle,enu,ohe,,noun,plural,
83,bane,ugog,timafi,stöl,nazweng,,noun,singular,
84,banes,ugog,timafi,stöl,nazweng,,noun,plural,
85,bar,ish,emu,zak,tod,,noun,singular,
86,bars,ish,emu,zak,tod,,noun,plural,
87,barb,robek,úpe,tuxxu,zomuth,,noun,singular,
88,barbs,robek,úpe,tuxxu,zomuth,,noun,plural,
89,bath,olmul,amama,ugas,bepa,,noun,singular,
90,baths,olmul,amama,ugas,bepa,,noun,plural,
91,bathe,olmul,amama,ugas,bepa,,verb,,present 1st person
92,bathes,olmul,amama,ugas,bepa,,verb,,present 3rd person
93,bathed,olmul,amama,ugas,bepa,,verb,,preterite
94,bathed,olmul,amama,ugas,bepa,,verb,,past participle
95,bathing,olmul,amama,ugas,bepa,,verb,,present participle
96,battle,nokzam,thafatha,ustrok,noloc,,noun,singular,
97,battles,nokzam,thafatha,ustrok,noloc,,noun,plural,
98,beak,emuth,etini,gosma,kes,,noun,singular,
99,beaks,emuth,etini,gosma,kes,,noun,plural,
100,beast,fer,ìle,kåbu,suku,,noun,singular,
101,beasts,fer,ìle,kåbu,suku,,noun,plural,
102,bear,uvel,atha,ron,rorec,,noun,singular,
103,bears,uvel,atha,ron,rorec,,noun,plural,
6760,band,emäth,isi,dozo,mones,object,noun,singular,
6763,band,konad,ebe,anketh,osda,group,noun,singular,
6761,bands,emäth,isi,dozo,mones,object,noun,plural,
6764,bands,konad,ebe,anketh,osda,group,noun,plural,
104,bear,dolush,alo,zudöl,musda,carry,verb,,present 1st person
109,bee,agêk,aveÿa,zaxo,uzu,,noun,singular,
110,bees,agêk,aveÿa,zaxo,uzu,,noun,plural,
111,beer,ucat,mafina,ospo,onaf,,noun,singular,
112,beers,ucat,mafina,ospo,onaf,,noun,plural,
113,beetle,ngárak,pama,strog,agthreb,,noun,singular,
114,beetles,ngárak,pama,strog,agthreb,,noun,plural,
115,beguiler,enir,mathúva,osmze,kaslal,,noun,singular,
116,beguilers,enir,mathúva,osmze,kaslal,,noun,plural,
117,beguile,enir,mathúva,osmze,kaslal,,verb,,present 1st person
118,beguiles,enir,mathúva,osmze,kaslal,,verb,,present 3rd person
119,beguiled,enir,mathúva,osmze,kaslal,,verb,,preterite
120,beguiled,enir,mathúva,osmze,kaslal,,verb,,past participle
121,beguiling,enir,mathúva,osmze,kaslal,,verb,,present participle
122,belch,ugath,bulifo,ulu,seggu,,noun,singular,
123,belches,ugath,bulifo,ulu,seggu,,noun,plural,
124,berry,lisig,ada,smug,tikbo,,noun,singular,
125,berries,lisig,ada,smug,tikbo,,noun,plural,
126,big,etäg,mamo,töbog,apu,,adjective,,
127,bile,erong,icithi,stran,sluste,,noun,singular,
128,biles,erong,icithi,stran,sluste,,noun,plural,
129,bin,osed,masa,sputo,itlud,,noun,singular,
130,bins,osed,masa,sputo,itlud,,noun,plural,
131,bird,lanlar,aríle,umung,eman,,noun,singular,
132,birds,lanlar,aríle,umung,eman,,noun,plural,
133,blackness,udir,opa,ogur,oth,,noun,singular,
134,blacknesses,udir,opa,ogur,oth,,noun,plural,
135,black,udir,opa,ogur,oth,,adjective,,
136,blade,tarmid,eli,roz,ushav,,noun,singular,
137,blades,tarmid,eli,roz,ushav,,noun,plural,
138,blaze,sákrith,mifava,uxzo,asri,,noun,singular,
139,blazes,sákrith,mifava,uxzo,asri,,noun,plural,
140,blaze,sákrith,mifava,uxzo,asri,,verb,,present 1st person
141,blazes,sákrith,mifava,uxzo,asri,,verb,,present 3rd person
142,blazed,sákrith,mifava,uxzo,asri,,verb,,preterite
143,blazed,sákrith,mifava,uxzo,asri,,verb,,past participle
144,blazing,sákrith,mifava,uxzo,asri,,verb,,present participle
145,blindness,nural,nanotha,ostad,odu,,noun,singular,
146,blindnesses,nural,nanotha,ostad,odu,,noun,plural,
147,blind,nural,nanotha,ostad,odu,,adjective,,
148,blind,nural,nanotha,ostad,odu,,verb,,present 1st person
149,blinds,nural,nanotha,ostad,odu,,verb,,present 3rd person
150,blinded,nural,nanotha,ostad,odu,,verb,,preterite
151,blinded,nural,nanotha,ostad,odu,,verb,,past participle
152,blinding,nural,nanotha,ostad,odu,,verb,,present participle
153,blister,bugsud,licesi,zûspo,ijat,,noun,singular,
154,blisters,bugsud,licesi,zûspo,ijat,,noun,plural,
155,bloat,okag,oma,moslö,iquob,,noun,singular,
156,bloats,okag,oma,moslö,iquob,,noun,plural,
157,bloated,okag,oma,moslö,iquob,,adjective,,
158,blood,nazush,cameda,ogom,cadem,,noun,singular,
159,bloods,nazush,cameda,ogom,cadem,,noun,plural,
160,bloodiness,nashon,cida,dotom,caquot,,noun,singular,
161,bloodinesses,nashon,cida,dotom,caquot,,noun,plural,
162,bloody,nashon,cida,dotom,caquot,,adjective,,
163,blossom,âtrid,lolama,zöslu,shibbi,,noun,singular,
164,blossoms,âtrid,lolama,zöslu,shibbi,,noun,plural,
165,blossom,âtrid,lolama,zöslu,shibbi,,verb,,present 1st person
166,blossoms,âtrid,lolama,zöslu,shibbi,,verb,,present 3rd person
167,blossomed,âtrid,lolama,zöslu,shibbi,,verb,,preterite
168,blossomed,âtrid,lolama,zöslu,shibbi,,verb,,past participle
169,blossoming,âtrid,lolama,zöslu,shibbi,,verb,,present participle
170,blueness,enôr,itho,oxsa,aro,,noun,singular,
171,bluenesses,enôr,itho,oxsa,aro,,noun,plural,
172,blue,enôr,itho,oxsa,aro,,adjective,,
173,boar,dùstik,lebeyu,oke,stral,,noun,singular,
174,boars,dùstik,lebeyu,oke,stral,,noun,plural,
175,boat,kogan,efeye,usasp,leto,,noun,singular,
176,boats,kogan,efeye,usasp,leto,,noun,plural,
177,bodice,ingish,lemathe,obxo,renal,,noun,singular,
178,bodices,ingish,lemathe,obxo,renal,,noun,plural,
179,bog,dudgoth,abure,onu,hoth,,noun,singular,
180,bogs,dudgoth,abure,onu,hoth,,noun,plural,
181,boil,stalkòb,camaba,nguzo,omsuth,,noun,singular,
182,boils,stalkòb,camaba,nguzo,omsuth,,noun,plural,
183,boil,themor,afatha,asttu,birta,,verb,,present 1st person
184,boils,themor,afatha,asttu,birta,,verb,,present 3rd person
185,boiled,themor,afatha,asttu,birta,,verb,,preterite
186,boiled,themor,afatha,asttu,birta,,verb,,past participle
187,boiling,themor,afatha,asttu,birta,,verb,,present participle
188,boldness,murak,iÿe,oz,ring,,noun,singular,
189,boldnesses,murak,iÿe,oz,ring,,noun,plural,
190,bold,murak,iÿe,oz,ring,,adjective,,
191,bolt,alåth,ene,okom,thora,,noun,singular,
192,bolts,alåth,ene,okom,thora,,noun,plural,
193,bolt,alåth,ene,okom,thora,,verb,,present 1st person
194,bolts,alåth,ene,okom,thora,,verb,,present 3rd person
195,bolted,alåth,ene,okom,thora,,verb,,preterite
196,bolted,alåth,ene,okom,thora,,verb,,past participle
197,bolting,alåth,ene,okom,thora,,verb,,present participle
198,bone,osod,one,mudo,sut,,noun,singular,
199,bones,osod,one,mudo,sut,,noun,plural,
200,book,thîkut,soya,zosto,thothil,,noun,singular,
201,books,thîkut,soya,zosto,thothil,,noun,plural,
202,boot,cog,emudi,stokko,ari,,noun,singular,
203,boots,cog,emudi,stokko,ari,,noun,plural,
204,bother,selsten,bareca,asa,umac,,verb,,present 1st person
205,bothers,selsten,bareca,asa,umac,,verb,,present 3rd person
206,bothered,selsten,bareca,asa,umac,,verb,,preterite
207,bothered,selsten,bareca,asa,umac,,verb,,past participle
208,bothering,selsten,bareca,asa,umac,,verb,,present participle
209,bow,egdoth,ramí,uneg,ethro,,noun,singular,
210,bows,egdoth,ramí,uneg,ethro,,noun,plural,
211,bow,othsin,thiwa,uku,sodu,,verb,,present 1st person
212,bows,othsin,thiwa,uku,sodu,,verb,,present 3rd person
213,bowed,othsin,thiwa,uku,sodu,,verb,,preterite
214,bowed,othsin,thiwa,uku,sodu,,verb,,past participle
215,bowing,othsin,thiwa,uku,sodu,,verb,,present participle
216,brain,idek,ereni,ulux,tura,,noun,singular,
217,brains,idek,ereni,ulux,tura,,noun,plural,
218,breach,ùst,fecaci,stratâb,ostsi,,noun,singular,
219,breaches,ùst,fecaci,stratâb,ostsi,,noun,plural,
220,breach,ùst,fecaci,stratâb,ostsi,,verb,,present 1st person
221,breaches,ùst,fecaci,stratâb,ostsi,,verb,,present 3rd person
222,breached,ùst,fecaci,stratâb,ostsi,,verb,,preterite
223,breached,ùst,fecaci,stratâb,ostsi,,verb,,past participle
224,breaching,ùst,fecaci,stratâb,ostsi,,verb,,present participle
225,breeches,suthmam,niriwa,olu,ecroh,,noun,singular,
226,breeches,suthmam,niriwa,olu,ecroh,,noun,plural,
227,bread,ím,medo,goso,lam,,noun,singular,
228,breads,ím,medo,goso,lam,,noun,plural,
229,breaker,okab,rire,astrum,tet,,noun,singular,
230,breakers,okab,rire,astrum,tet,,noun,plural,
231,break,okab,rire,astrum,tet,,verb,,present 1st person
232,breaks,okab,rire,astrum,tet,,verb,,present 3rd person
233,broke,okab,rire,astrum,tet,,verb,,preterite
234,broken,okab,rire,astrum,tet,,verb,,past participle
235,breaking,okab,rire,astrum,tet,,verb,,present participle
236,breakfast,onlìl,enele,sod,zekdu,,noun,singular,
237,breakfasts,onlìl,enele,sod,zekdu,,noun,plural,
238,breath,gasol,larìna,kug,togi,,noun,singular,
239,breaths,gasol,larìna,kug,togi,,noun,plural,
240,breed,tegir,erise,smusm,loge,,noun,singular,
241,breeds,tegir,erise,smusm,loge,,noun,plural,
242,brew,namàsh,uyira,um,sumost,,noun,singular,
243,brews,namàsh,uyira,um,sumost,,noun,plural,
244,bride,noval,awiri,snonggom,thina,,noun,singular,
245,brides,noval,awiri,snonggom,thina,,noun,plural,
246,bridle,shalig,bimawa,olôt,quispep,,noun,singular,
247,bridles,shalig,bimawa,olôt,quispep,,noun,plural,
248,bridled,shalig,bimawa,olôt,quispep,,adjective,,
249,brightness,shin,cele,ur,nepe,,noun,singular,
250,brightnesses,shin,cele,ur,nepe,,noun,plural,
251,bright,shin,cele,ur,nepe,,adjective,,
252,bristle,lek,femeli,gorno,spishab,,noun,singular,
253,bristles,lek,femeli,gorno,spishab,,noun,plural,
254,bristle,lek,femeli,gorno,spishab,,verb,,present 1st person
255,bristles,lek,femeli,gorno,spishab,,verb,,present 3rd person
256,bristled,lek,femeli,gorno,spishab,,verb,,preterite
257,bristled,lek,femeli,gorno,spishab,,verb,,past participle
258,bristling,lek,femeli,gorno,spishab,,verb,,present participle
259,brilliance,äkim,víÿo,snuko,daze,,noun,singular,
260,brilliances,äkim,víÿo,snuko,daze,,noun,plural,
261,brilliant,äkim,víÿo,snuko,daze,,adjective,,
262,brim,kâkdal,fita,nguxur,laka,,noun,singular,
263,brims,kâkdal,fita,nguxur,laka,,noun,plural,
264,broil,stumäm,facicé,kusmke,mintut,,verb,,present 1st person
265,broils,stumäm,facicé,kusmke,mintut,,verb,,present 3rd person
266,broiled,stumäm,facicé,kusmke,mintut,,verb,,preterite
267,broiled,stumäm,facicé,kusmke,mintut,,verb,,past participle
268,broiling,stumäm,facicé,kusmke,mintut,,verb,,present participle
269,brother,alud,oleme,osnu,age,,noun,singular,
270,brothers,alud,oleme,osnu,age,,noun,plural,
271,brunch,olom,fetili,uxa,udda,,noun,singular,
272,brunches,olom,fetili,uxa,udda,,noun,plural,
273,buck,ëlot,futace,slôbo,ilan,,noun,singular,
274,bucks,ëlot,futace,slôbo,ilan,,noun,plural,
275,buckle,rozsed,lete,ast,iddim,,noun,singular,
276,buckles,rozsed,lete,ast,iddim,,noun,plural,
277,buckle,rozsed,lete,ast,iddim,,verb,,present 1st person
278,buckles,rozsed,lete,ast,iddim,,verb,,present 3rd person
279,buckled,rozsed,lete,ast,iddim,,verb,,preterite
280,buckled,rozsed,lete,ast,iddim,,verb,,past participle
281,buckling,rozsed,lete,ast,iddim,,verb,,present participle
282,bunch,thos,medé,gosp,dag,,noun,singular,
283,bunches,thos,medé,gosp,dag,,noun,plural,
284,burden,okon,curo,stok,molu,,noun,singular,
285,burdens,okon,curo,stok,molu,,noun,plural,
286,burn,nïng,cilole,mugub,istro,,noun,singular,
287,burns,nïng,cilole,mugub,istro,,noun,plural,
288,burn,nïng,cilole,mugub,istro,,verb,,present 1st person
289,burns,nïng,cilole,mugub,istro,,verb,,present 3rd person
290,burned,nïng,cilole,mugub,istro,,verb,,preterite
291,burned,nïng,cilole,mugub,istro,,verb,,past participle
292,burning,nïng,cilole,mugub,istro,,verb,,present participle
293,burial,ostar,nula,uno,donu,,noun,singular,
294,burials,ostar,nula,uno,donu,,noun,plural,
295,bury,ostar,nula,uno,donu,,verb,,present 1st person
296,buries,ostar,nula,uno,donu,,verb,,present 3rd person
297,buried,ostar,nula,uno,donu,,verb,,preterite
298,buried,ostar,nula,uno,donu,,verb,,past participle
299,burying,ostar,nula,uno,donu,,verb,,present participle
300,bush,rorul,alithi,ngontek,iwo,,noun,singular,
301,bushes,rorul,alithi,ngontek,iwo,,noun,plural,
302,bushel,kovath,ifi,ugstol,rimtil,,noun,singular,
303,bushels,kovath,ifi,ugstol,rimtil,,noun,plural,
304,bust,åblel,sasifi,dusnu,thrura,,noun,singular,
305,busts,åblel,sasifi,dusnu,thrura,,noun,plural,
306,buster,stal,thaba,star,mosmik,,noun,singular,
307,busters,stal,thaba,star,mosmik,,noun,plural,
308,bust,stal,thaba,star,mosmik,,verb,,present 1st person
309,busts,stal,thaba,star,mosmik,,verb,,present 3rd person
310,busted,stal,thaba,star,mosmik,,verb,,preterite
311,busted,stal,thaba,star,mosmik,,verb,,past participle
312,busting,stal,thaba,star,mosmik,,verb,,present participle
7524,bear,nóton,ÿemi,egu,onru,birth,verb,,present 1st person
314,businesses,girtol,cuseni,dödong,rodi,,noun,plural,
108,bearing,dolush,alo,zudöl,musda,carry,verb,,present participle
316,business,kitïg,yicethu,umub,cado,,noun,plural,
317,busy,kitïg,yicethu,umub,cado,,adjective,,
318,butcher,lokast,uwale,slust,rashcat,,noun,singular,
319,butchers,lokast,uwale,slust,rashcat,,noun,plural,
320,butter,reked,necitho,lel,rozmo,,noun,singular,
321,butters,reked,necitho,lel,rozmo,,noun,plural,
322,buttery,reked,necitho,lel,rozmo,,adjective,,
323,butter,reked,necitho,lel,rozmo,,verb,,present 1st person
324,butters,reked,necitho,lel,rozmo,,verb,,present 3rd person
325,buttered,reked,necitho,lel,rozmo,,verb,,preterite
326,buttered,reked,necitho,lel,rozmo,,verb,,past participle
327,buttering,reked,necitho,lel,rozmo,,verb,,present participle
328,butterfly,comníth,ithithe,nuxka,loli,,noun,singular,
329,butterflies,comníth,ithithe,nuxka,loli,,noun,plural,
330,button,sidos,vaca,uze,atek,,noun,singular,
331,buttons,sidos,vaca,uze,atek,,noun,plural,
332,button,sidos,vaca,uze,atek,,verb,,present 1st person
333,buttons,sidos,vaca,uze,atek,,verb,,present 3rd person
334,buttoned,sidos,vaca,uze,atek,,verb,,preterite
335,buttoned,sidos,vaca,uze,atek,,verb,,past participle
336,buttoning,sidos,vaca,uze,atek,,verb,,present participle
337,buzzard,setnek,acithe,âng,jozi,,noun,singular,
338,buzzards,setnek,acithe,âng,jozi,,noun,plural,
339,cackle,ethbesh,noca,urog,ejá,,verb,,present 1st person
340,cackles,ethbesh,noca,urog,ejá,,verb,,present 3rd person
341,cackled,ethbesh,noca,urog,ejá,,verb,,preterite
342,cackled,ethbesh,noca,urog,ejá,,verb,,past participle
343,cackling,ethbesh,noca,urog,ejá,,verb,,present participle
344,cad,nug,beyafe,an,nupto,,noun,singular,
345,cads,nug,beyafe,an,nupto,,noun,plural,
346,cage,mokez,ofúru,obtux,tin,,noun,singular,
347,cages,mokez,ofúru,obtux,tin,,noun,plural,
348,cake,cös,cefira,bogzut,mispi,,noun,singular,
349,cakes,cös,cefira,bogzut,mispi,,noun,plural,
350,call,idos,mivere,nonu,uce,,noun,singular,
351,calls,idos,mivere,nonu,uce,,noun,plural,
352,call,idos,mivere,nonu,uce,,verb,,present 1st person
353,calls,idos,mivere,nonu,uce,,verb,,present 3rd person
354,called,idos,mivere,nonu,uce,,verb,,preterite
355,called,idos,mivere,nonu,uce,,verb,,past participle
356,calling,idos,mivere,nonu,uce,,verb,,present participle
357,camp,ogîk,imené,ustthut,muthe,,noun,singular,
358,camps,ogîk,imené,ustthut,muthe,,noun,plural,
359,camp,ogîk,imené,ustthut,muthe,,verb,,present 1st person
360,camps,ogîk,imené,ustthut,muthe,,verb,,present 3rd person
361,camped,ogîk,imené,ustthut,muthe,,verb,,preterite
362,camped,ogîk,imené,ustthut,muthe,,verb,,past participle
363,camping,ogîk,imené,ustthut,muthe,,verb,,present participle
364,cancer,utheg,mavi,gostat,rism,,noun,singular,
365,cancers,utheg,mavi,gostat,rism,,noun,plural,
366,candle,tílgil,erela,gunsmom,kofi,,noun,singular,
367,candles,tílgil,erela,gunsmom,kofi,,noun,plural,
368,candy,ebsas,lire,kumo,medi,,noun,singular,
369,candies,ebsas,lire,kumo,medi,,noun,plural,
370,canker,lurak,remofe,nosmul,ufsmat,,noun,singular,
371,cankers,lurak,remofe,nosmul,ufsmat,,noun,plural,
372,canyon,tobul,gica,naza,tequil,,noun,singular,
373,canyons,tobul,gica,naza,tequil,,noun,plural,
374,carnage,ilush,fathiri,uzet,stipoth,,noun,singular,
375,carnages,ilush,fathiri,uzet,stipoth,,noun,plural,
376,casket,dënush,radi,ostre,nod,,noun,singular,
377,caskets,dënush,radi,ostre,nod,,noun,plural,
378,castle,rimtar,tayo,zogast,ithru,,noun,singular,
379,castles,rimtar,tayo,zogast,ithru,,noun,plural,
380,cat,kun,linì,sest,usa,,noun,singular,
381,cats,kun,linì,sest,usa,,noun,plural,
382,cave,äs,garetho,omo,ngethac,,noun,singular,
383,caves,äs,garetho,omo,ngethac,,noun,plural,
384,cell,kiror,rufa,un,umum,,noun,singular,
385,cells,kiror,rufa,un,umum,,noun,plural,
386,chain,nicat,oséfi,ugo,ekul,,noun,singular,
387,chains,nicat,oséfi,ugo,ekul,,noun,plural,
388,chain,nicat,oséfi,ugo,ekul,,verb,,present 1st person
389,chains,nicat,oséfi,ugo,ekul,,verb,,present 3rd person
390,chained,nicat,oséfi,ugo,ekul,,verb,,preterite
391,chained,nicat,oséfi,ugo,ekul,,verb,,past participle
392,chaining,nicat,oséfi,ugo,ekul,,verb,,present participle
393,chant,onshen,ayilo,slonu,umci,,noun,singular,
394,chants,onshen,ayilo,slonu,umci,,noun,plural,
395,chant,onshen,ayilo,slonu,umci,,verb,,present 1st person
396,chants,onshen,ayilo,slonu,umci,,verb,,present 3rd person
397,chanted,onshen,ayilo,slonu,umci,,verb,,preterite
398,chanted,onshen,ayilo,slonu,umci,,verb,,past participle
399,chanting,onshen,ayilo,slonu,umci,,verb,,present participle
400,chaos,rërith,thevalo,ûd,slibtu,,noun,singular,
401,chaoses,rërith,thevalo,ûd,slibtu,,noun,plural,
402,chamber,mafol,zole,ngorug,perom,,noun,singular,
403,chambers,mafol,zole,ngorug,perom,,noun,plural,
404,char,sid,imida,ustgu,aquig,,verb,,present 1st person
405,chars,sid,imida,ustgu,aquig,,verb,,present 3rd person
406,charred,sid,imida,ustgu,aquig,,verb,,preterite
407,charred,sid,imida,ustgu,aquig,,verb,,past participle
408,charring,sid,imida,ustgu,aquig,,verb,,present participle
409,charm,ìtdùn,methila,dông,mel,,noun,singular,
410,charms,ìtdùn,methila,dông,mel,,noun,plural,
411,charm,ìtdùn,methila,dông,mel,,verb,,present 1st person
412,charms,ìtdùn,methila,dông,mel,,verb,,present 3rd person
413,charmed,ìtdùn,methila,dông,mel,,verb,,preterite
414,charmed,ìtdùn,methila,dông,mel,,verb,,past participle
415,charming,ìtdùn,methila,dông,mel,,verb,,present participle
416,child,tilat,imi,tox,shin,,noun,singular,
417,children,tilat,imi,tox,shin,,noun,plural,
418,chill,îtat,pini,xama,nalki,,noun,singular,
419,chills,îtat,pini,xama,nalki,,noun,plural,
420,chill,îtat,pini,xama,nalki,,verb,,present 1st person
421,chills,îtat,pini,xama,nalki,,verb,,present 3rd person
422,chilled,îtat,pini,xama,nalki,,verb,,preterite
423,chilled,îtat,pini,xama,nalki,,verb,,past participle
424,chilling,îtat,pini,xama,nalki,,verb,,present participle
425,chip,egot,casi,ngosmest,ongi,,noun,singular,
426,chips,egot,casi,ngosmest,ongi,,noun,plural,
427,chip,dib,amirí,ub,sistru,,verb,,present 1st person
428,chips,dib,amirí,ub,sistru,,verb,,present 3rd person
429,chipped,dib,amirí,ub,sistru,,verb,,preterite
430,chipped,dib,amirí,ub,sistru,,verb,,past participle
431,chipping,dib,amirí,ub,sistru,,verb,,present participle
432,chirp,oril,rira,nub,pib,,verb,,present 1st person
433,chirps,oril,rira,nub,pib,,verb,,present 3rd person
434,chirped,oril,rira,nub,pib,,verb,,preterite
435,chirped,oril,rira,nub,pib,,verb,,past participle
436,chirping,oril,rira,nub,pib,,verb,,present participle
437,choke,bukog,oneca,slësla,thrislat,,verb,,present 1st person
438,chokes,bukog,oneca,slësla,thrislat,,verb,,present 3rd person
439,choked,bukog,oneca,slësla,thrislat,,verb,,preterite
440,choked,bukog,oneca,slësla,thrislat,,verb,,past participle
441,choking,bukog,oneca,slësla,thrislat,,verb,,present participle
442,chop,atot,riquethi,eg,kupko,,verb,,present 1st person
443,chops,atot,riquethi,eg,kupko,,verb,,present 3rd person
444,chopped,atot,riquethi,eg,kupko,,verb,,preterite
445,chopped,atot,riquethi,eg,kupko,,verb,,past participle
446,chopping,atot,riquethi,eg,kupko,,verb,,present participle
447,chuck,imik,ladatha,dunosp,cok,,verb,,present 1st person
448,chucks,imik,ladatha,dunosp,cok,,verb,,present 3rd person
449,chucked,imik,ladatha,dunosp,cok,,verb,,preterite
450,chucked,imik,ladatha,dunosp,cok,,verb,,past participle
451,chucking,imik,ladatha,dunosp,cok,,verb,,present participle
452,cinder,sudir,wème,uslo,enmu,,noun,singular,
453,cinders,sudir,wème,uslo,enmu,,noun,plural,
454,clam,odshith,vera,ongkosm,nubpo,,noun,singular,
455,clams,odshith,vera,ongkosm,nubpo,,noun,plural,
456,clap,rag,ora,kuda,cengi,,verb,,present 1st person
457,claps,rag,ora,kuda,cengi,,verb,,present 3rd person
458,clapped,rag,ora,kuda,cengi,,verb,,preterite
459,clapped,rag,ora,kuda,cengi,,verb,,past participle
460,clapping,rag,ora,kuda,cengi,,verb,,present participle
461,clasp,dodók,lama,ozad,rákfil,,noun,singular,
462,clasps,dodók,lama,ozad,rákfil,,noun,plural,
463,clasp,dodók,lama,ozad,rákfil,,verb,,present 1st person
464,clasps,dodók,lama,ozad,rákfil,,verb,,present 3rd person
465,clasped,dodók,lama,ozad,rákfil,,verb,,preterite
466,clasped,dodók,lama,ozad,rákfil,,verb,,past participle
467,clasping,dodók,lama,ozad,rákfil,,verb,,present participle
468,claw,sinsot,efé,ûr,acik,,noun,singular,
469,claws,sinsot,efé,ûr,acik,,noun,plural,
470,clear,es,thema,ug,ilid,,adjective,,
